;proceedings:ID;address:string;author:string[];booktitle:string;cite:string[];cite-label:string[];editor:string[];editor-orcid:string[];ee:string[];ee-type:string[];i:string;isbn:string[];isbn-type:string[];journal:string;key:string;mdate:date;note:string[];note-type:string;number:string;pages:string;publisher:string[];publisher-href:string;publtype:string;school:string;series:string[];series-href:string[];sub:string;sup:string[];title:string;url:string[];volume:string;year:int
41726;8389944;;;WACCPD@SC;;;Fernanda S. Foertter|Sunita Chandrasekaran;;https://doi.org/10.1145/2832105;;;978-1-4503-4014-4;;;conf/sc/2015waccpd;2020-10-26;;;;;ACM;;;;;;;;Proceedings of the Second Workshop on Accelerator Programming using Directives, WACCPD 2015, Austin, Texas, USA, November 15, 2015;db/conf/sc/waccpd2015.html;;2015
12538;6604268;;;ALT;;;Gilles Stoltz|Nader H. Bshouty|Nicolas Vayatis|Thomas Zeugmann;;https://doi.org/10.1007/978-3-642-34106-9;;;978-3-642-34105-2;;;conf/alt/2012;2019-05-14;;;;;Springer;;;;Lecture Notes in Computer Science;db/series/lncs/index.html;;;Algorithmic Learning Theory - 23rd International Conference, ALT 2012, Lyon, France, October 29-31, 2012. Proceedings;db/conf/alt/alt2012.html;7568;2012
5927;6176646;;;SemAnnot@ISWC;;;Marja-Riitta Koivunen|Rose Dieng|Siegfried Handschuh|Steffen Staab|Thierry Declerck|V. Richard Benjamins;;http://ceur-ws.org/Vol-184;oa;;;;;conf/semweb/2004semannot;2019-05-28;;;;;CEUR-WS.org;;;;CEUR Workshop Proceedings;db/series/ceurws/index.html;;;Proceedings of the 4th International Workshop on Knowledge Markup and Semantic Annotation ( SemAnnot 2004 ) located at the 3rd International Semantic Web Conference ISWC 2004 8th November 2004, Hiroshima, Japan;db/conf/semweb/semannot2004.html;184;2004
11823;6537134;;;FOCS;;;;;http://www.computer.org/csdl/proceedings/focs/2000/0850/00/index.html|https://ieeexplore.ieee.org/xpl/conhome/7164/proceeding;;;0-7695-0850-2;;;conf/focs/2000;2019-10-16;;;;;IEEE Computer Society;;;;;;;;41st Annual Symposium on Foundations of Computer Science, FOCS 2000, 12-14 November 2000, Redondo Beach, California, USA;db/conf/focs/focs2000.html;;2000
15832;6854657;;;SOLI;;;;;https://doi.org/10.1109/soli15148.2009|https://ieeexplore.ieee.org/xpl/conhome/5174557/proceeding;;;978-1-4244-3540-1|978-1-4244-3541-8;;;conf/soli/2009;2022-02-02;;;;;IEEE;;;;;;;;2009 IEEE/INFORMS International Conference on Service Operations, Logistics and Informatics, SOLI 2009, Chicago, IL, USA, July 22-24, 2009;db/conf/soli/soli2009.html;;2009
46343;8633515;;;FORMATS;;;Laurent Fribourg|Víctor A. Braberman;;https://doi.org/10.1007/978-3-642-40229-6;;;978-3-642-40228-9;;;conf/formats/2013;2019-05-14;;;;;Springer;;;;Lecture Notes in Computer Science;db/series/lncs/index.html;;;Formal Modeling and Analysis of Timed Systems - 11th International Conference, FORMATS 2013, Buenos Aires, Argentina, August 29-31, 2013. Proceedings;db/conf/formats/formats2013.html;8053;2013
29985;7701304;;;ACISP;;;Jennifer Seberry|Reihaneh Safavi-Naini;;https://doi.org/10.1007/3-540-45067-X;;;3-540-40515-1;;;conf/acisp/2003;2019-05-14;;;;;Springer;;;;Lecture Notes in Computer Science;db/series/lncs/index.html;;;Information Security and Privacy, 8th Australasian Conference, ACISP 2003, Wollongong, Australia, July 9-11, 2003, Proceedings;db/conf/acisp/acisp2003.html;2727;2003
31048;7759777;;;MAB;;;Ava Fatah gen. Schieck|Martin Tomitsch|Matthias Hank Haeusler|Peter Dalsgaard;;https://doi.org/10.1145/2946803;;;978-1-4503-4749-5;;;conf/mab/2016;2018-11-06;;;;;ACM;;;;;;;;Proceedings of the 3rd Media Architecture Biennale Conference, MAB 2016, Sydney, Australia, June 1-4, 2016;db/conf/mab/mab2016.html;;2016
17265;6941603;;;Robotics: Science and Systems;;;Antonio Bicchi|Hadas Kress-Gazit|Seth Hutchinson 0001;;http://www.roboticsproceedings.org/rss15/;;;978-0-9923747-5-4;;;conf/rss/2019;2021-04-01;;;;;;;;;;;;;Robotics: Science and Systems XV, University of Freiburg, Freiburg im Breisgau, Germany, June 22-26, 2019.;db/conf/rss/rss2019.html;;2019
30248;7720447;;;ICT4S;;;Ana Moreira 0001|Benoît Combemale|Daniel Schien|Ruzanna Chitchyan;;https://doi.org/10.1145/3401335;;;978-1-4503-7595-5;;;conf/ict4s/2020;2020-08-04;;;;;ACM;;;;;;;;ICT4S 2020: 7th International Conference on ICT for Sustainability, Bristol, United Kingdom, June 21-27, 2020;db/conf/ict4s/ict4s2020.html;;2020
24057;7354285;;;FAW;;;Minming Li;;https://doi.org/10.1007/978-3-030-59901-0;;;978-3-030-59900-3|978-3-030-59901-0;;;conf/faw/2020;2020-09-24;;;;;Springer;;;;Lecture Notes in Computer Science;db/series/lncs/index.html;;;Frontiers in Algorithmics - 14th International Workshop, FAW 2020, Haikou, China, October 19-21, 2020, Proceedings;db/conf/faw/faw2020.html;12340;2020
45750;8605155;;;AHFE (5);;;Ronald L. Boring;;https://doi.org/10.1007/978-3-030-20037-4;;;978-3-030-20036-7|978-3-030-20037-4;;;conf/ahfe/2019-5;2021-09-29;;;;;Springer;;;;Advances in Intelligent Systems and Computing;db/series/asc/index.html;;;Advances in Human Error, Reliability, Resilience, and Performance - Proceedings of the 3rd International Conference on Human Error, Reliability, Resilience, and Performance, AHFE-HERRP 2019, Washington, DC, USA, July 24-28, 2019;db/conf/ahfe/ahfe2019-5.html;956;2020
15077;6808234;;;ER;;;Alberto H. F. Laender|Fabio Casati|José Palazzo Moreira de Oliveira|Silvana Castano|Umeshwar Dayal;;https://doi.org/10.1007/978-3-642-04840-1;;;978-3-642-04839-5;;;conf/er/2009;2019-05-14;;;;;Springer;;;;Lecture Notes in Computer Science;db/series/lncs/index.html;;;Conceptual Modeling - ER 2009, 28th International Conference on Conceptual Modeling, Gramado, Brazil, November 9-12, 2009. Proceedings;db/conf/er/er2009.html;5829;2009
37701;8181947;;;ICGSE;;;;;https://ieeexplore.ieee.org/xpl/conhome/7962853/proceeding|https://www.computer.org/csdl/proceedings/icgse/2017/1587/00/index.html;;;978-1-5386-1587-4;;;conf/icgse/2017;2019-10-16;;;;;IEEE Computer Society;;;;;;;;12th IEEE International Conference on Global Software Engineering, ICGSE 2017, Buenos Aires, Argentina, May 22-23, 2017;db/conf/icgse/icgse2017.html;;2017
32183;7839403;;;ICSTCC;;;Lucian-Florentin Barbulescu;;https://ieeexplore.ieee.org/xpl/conhome/9259608/proceeding;;;978-1-7281-9809-5;;;conf/icstcc/2020;2020-12-02;;;;;IEEE;;;;;;;;24th International Conference on System Theory, Control and Computing, ICSTCC 2020, Sinaia, Romania, October 8-10, 2020;db/conf/icstcc/icstcc2020.html;;2020
20954;7159946;;;NCS;;;;;https://ieeexplore.ieee.org/xpl/conhome/8589959/proceeding;;;978-1-5386-7252-5;;;conf/ncs/2018;2021-08-09;;;;;IEEE;;;;;;;;National Cyber Summit, NCS 2018, Huntsville, AL, USA, June 5-7, 2018;db/conf/ncs/ncs2018.html;;2018
14093;6740926;;;FoSSaCS;;;Wolfgang Thomas;;https://doi.org/10.1007/3-540-49019-1;;;3-540-65719-3;;;conf/fossacs/1999;2019-05-14;;;;;Springer;;;;Lecture Notes in Computer Science;db/series/lncs/index.html;;;Foundations of Software Science and Computation Structure, Second International Conference, FoSSaCS'99, Held as Part of the European Joint Conferences on the Theory and Practice of Software, ETAPS'99, Amsterdam, The Netherlands, March 22-28, 1999, Proceedings;db/conf/fossacs/fossacs1999.html;1578;1999
22963;7267626;;;IScIDE;;;Changyin Sun|Fang Fang|Jian Yang;;https://doi.org/10.1007/978-3-642-36669-7;;;978-3-642-36668-0;;;conf/iscide/2012;2019-05-14;;;;;Springer;;;;Lecture Notes in Computer Science;db/series/lncs/index.html;;;Intelligent Science and Intelligent Data Engineering - Third Sino-foreign-interchange Workshop, IScIDE 2012, Nanjing, China, October 15-17, 2012. Revised Selected Papers;db/conf/iscide/iscide2012.html;7751;2013
38853;8254887;;;INTERACT Workshops;;;Antigoni Parmaxi|Carmelo Ardito|Fernando Loizides|Ganesh Bhutkar|José L. Abdelnour-Nocera|Marco Winckler|Peter Dannenmann;0000-0001-7935-7368|0000-0001-8993-9855|0000-0002-0687-0176|0000-0002-0756-6934|0000-0002-9720-926X|0000-0003-0531-6760;https://doi.org/10.1007/978-3-030-46540-7;;;978-3-030-46539-1|978-3-030-46540-7;;;conf/interact/2019w;2020-05-04;;;;;Springer;;;;Lecture Notes in Computer Science;db/series/lncs/index.html;;;Beyond Interactions - INTERACT 2019 IFIP TC 13 Workshops, Paphos, Cyprus, September 2-6, 2019, Revised Selected Papers;db/conf/interact/interact2019w.html;11930;2020
33831;7950208;;;PACBB;;;Florentino Fdez-Riverola|Miguel Rocha|Mohd Saberi Mohamad|Roberto Casado-Vara;;https://doi.org/10.1007/978-3-030-86258-9;;;978-3-030-86257-2|978-3-030-86258-9;;;conf/pacbb/2021;2021-09-29;;;;;Springer;;;;Lecture Notes in Networks and Systems;db/series/lnns/index.html;;;Practical Applications of Computational Biology & Bioinformatics, 15th International Conference (PACBB 2021), Salamanca, Spain, 6-8 October, 2021.;db/conf/pacbb/pacbb2021.html;325;2022
34668;7992095;;;Medical Imaging: Image-Guided Procedures;;;Baowei Fei|Robert J. Webster;;https://www.spiedigitallibrary.org/conference-proceedings-of-SPIE/10135.toc;;;9781510607156;;;conf/miigp/2017;2018-01-26;;;;;SPIE;;;;SPIE Proceedings;;;;Medical Imaging 2017: Image-Guided Procedures, Robotic Interventions, and Modeling, Orlando, Florida, United States, 11-16 February 2017;db/conf/miigp/miigp2017.html;10135;2017
41687;8388999;;;China HPC;;;David K. Kahaner;;;;;978-1-59593-903-6;;;conf/sc/2007chinahpc;2011-01-10;;;;;ACM Press;;;;;;;;"CHINA HPC 2007, Proceedings of the Asian Technology Information Program's (ATIP's) Third Workshop on High-Performance Computing in China: ""Solution Approaches to Impediments for High Performance Computing"", Supercomputing 2007 (SC07), November 11, 2007, Reno, Nevada, USA";db/conf/sc/chinahpc2007.html;;2007
