;incollection:ID;author:string[];author-orcid:string[];booktitle:string;cdrom:string;chapter:int;cite:string[];cite-label:string[];crossref:string;ee:string[];ee-type:string[];i:string[];key:string;mdate:date;note:string;number:string;pages:string;publisher:string;publisher-href:string;publtype:string;sub:string[];sup:string[];title:string;url:string;year:int
43401;2859514;Yuval Ishai;;Secure Multi-Party Computation;;;;;series/ciss/2013-10;https://doi.org/10.3233/978-1-61499-169-4-222;;;series/ciss/Ishai13;2017-05-16;;;222-248;;;;;;Randomization Techniques for Secure Computation.;db/series/ciss/ciss10.html#Ishai13;2013
17491;18173;Oscar Castillo 0001;;Handbook of Computational Intelligence;;;;;reference/sp/2015ci;https://doi.org/10.1007/978-3-662-43505-2_78;;;reference/sp/Castillo15;2018-09-12;;;1499-1507;;;;;;Bio-Inspired Optimization of Type-2 Fuzzy Controllers.;db/reference/sp/ci2015.html#Castillo15;2015
21992;22691;Guandong Xu|Haicheng Tao|Jie Cao 0001|Zhiang Wu 0001;;Encyclopedia of Social Network Analysis and Mining;;;;;;https://doi.org/10.1007/978-1-4614-6170-8_180;;;reference/snam/XuWCT14;2020-02-13;;;969-982;;;encyclopedia;;;Models for Community Dynamics.;db/reference/snam/snam2014.html#XuWCT14;2014
59619;2890038;Olaf Wolkenhauer;;Data Fusion and Perception;;;;;books/sp/01/RLK2001;https://doi.org/10.1007/978-3-7091-2580-9_7;;;books/sp/01/Wolkenhauer01;2019-07-24;;;121-134;;;;;;On Information Fusion in the Life-Sciences.;db/books/collections/RLK2001.html#Wolkenhauer01;2001
63033;2894316;Arjeh M. Cohen|Lambert G. L. T. Meertens;;Computer-Human Interaction in Symbolic Computation;;;;;books/sp/98/K1998;https://doi.org/10.1007/978-3-7091-6461-7_2;;;books/sp/98/CohenM98;2022-03-02;;;7-23;;;;;;The ACELA project: aims and plans.;db/books/collections/K1998.html#CohenM98;1998
24424;25123;Kazuo Goda;;Encyclopedia of Database Systems;;;;;reference/db/2009;https://doi.org/10.1007/978-0-387-39940-9_1344;;;reference/db/Goda09e;2017-07-12;;;1551-1553;;;encyclopedia;;;Intelligent Storage Systems.;db/reference/db/i.html#Goda09e;2009
21479;22176;;;Encyclopedia of Social Network Analysis and Mining. 2nd Ed.;;;;;reference/snam/2018;https://doi.org/10.1007/978-1-4939-7131-2_100618;;;reference/snam/X18sy;2019-02-17;;;;;;encyclopedia;;;Longitudinal Network.;db/reference/snam/snam2018.html#X18sy;2018
3886;4495;Michael J. Chapple;;Encyclopedia of Information Ethics and Security;;;;;reference/ethics/2007;http://www.igi-global.com/Bookstore/chapter.aspx?titleid=13487;;;reference/ethics/Chapple07;2017-07-12;;;291-296;;;encyclopedia;;;Federal Information Security Law.;db/reference/ethics/ethics2007.html#Chapple07;2007
13612;14271;Ashok Veeraraghavan|Visesh Chari;;Computer Vision, A Reference Guide;;;;;;https://doi.org/10.1007/978-0-387-31439-6_479;;;reference/vision/ChariV14;2017-07-12;;;443-445;;;encyclopedia;;;Lens Distortion, Radial Distortion.;db/reference/vision/vision2014.html#ChariV14;2014
20497;21194;Caroline Haythornthwaite;0000-0002-7311-3140;Encyclopedia of Social Network Analysis and Mining;;;;;;https://doi.org/10.1007/978-1-4614-6170-8_67|https://www.wikidata.org/entity/Q58325312;;;reference/snam/Haythornthwaite14;2018-11-24;;;785-793;;;encyclopedia;;;Learning Networks.;db/reference/snam/snam2014.html#Haythornthwaite14;2014
8643;9290;;;Encyclopedia of Machine Learning;;;;;reference/ml/2010;https://doi.org/10.1007/978-0-387-30164-8_16;;;reference/ml/X10k;2017-07-12;;;35;;;encyclopedia;;;Agent-Based Simulation Models.;db/reference/ml/ml2010.html#X10k;2010
46910;2873409;Knut Blind;;Database Technologies: Concepts, Methodologies, Tools, and Applications;;;;;books/igi/Erickson2009;http://www.igi-global.com/Bookstore/Chapter.aspx?TitleId=7990;;;books/igi/Erickson09/Blind09;2011-01-21;;;1529-1551;;;;;;Factors Influencing the Lifetime of Telecommunication and Information Technology Standards.;db/books/collections/Erickson2009.html#Blind09;2009
44251;2868978;Eugene Zhang;;Visualization and Processing of Tensors and Higher Order Descriptors for Multi-Valued Data;;;;;books/daglib/0037572;https://doi.org/10.1007/978-3-642-54301-2_13;;;books/daglib/p/Zhang14;2017-05-16;;;295-311;;;;;;Tensors in Geometry Processing.;db/books/collections/WVB2014.html#Zhang14;2014
11949;12600;;;Encyclopedia of GIS;;;;;reference/gis/2008;https://doi.org/10.1007/978-0-387-35973-1_138;;;reference/gis/X08dp;2017-07-12;;;97;;;encyclopedia;;;Closest Point Query.;db/reference/gis/gis2008.html#X08dp;2008
61030;2892113;Stephen Appleby|Tim Stevens;;MediaSync, Handbook on Multimedia Synchronization;;;;;books/sp/MCBJ2018;https://doi.org/10.1007/978-3-319-65840-7_19;;;books/sp/18/StevensA18;2018-05-08;;;547-564;;;;;;Video Delivery and Challenges: TV, Broadcast and Over The Top.;db/books/collections/MCBJ2018.html#StevensA18;2018
7210;7855;Huan Liu 0001|Lei Tang 0001|Vineeth Rakesh;;Encyclopedia of Big Data Technologies;;;;;reference/bdt/2019;https://doi.org/10.1007/978-3-319-63962-8_273-1;;;reference/bdt/RakeshT019;2019-02-14;;;;;;encyclopedia;;;Feature Learning from Social Graphs.;db/reference/bdt/1.html#RakeshT019;2019
13580;14238;Dana H. Ballard;;Computer Vision, A Reference Guide;;;;;;https://doi.org/10.1007/978-0-387-31439-6_273;;;reference/vision/Ballard14;2017-07-12;;;31-36;;;encyclopedia;;;Animat Vision.;db/reference/vision/vision2014.html#Ballard14;2014
